Subject,DF_start,DF_end,Delta_DF,Slope_DF,Slope_DF_early,Slope_DF_late,SF_start,SF_end,Delta_SF,Slope_SF,Slope_SF_early,Slope_SF_late
P49,0.615971,0.613286,-0.0026850000000000485,-0.0005023151515151212,0.00014449999999998484,-0.0005755999999999445,0.909167,0.916184,0.007017000000000051,0.000977181818181884,-0.0010822999999999785,0.0008473000000001152
P50,0.601608,0.61852,0.016911999999999927,0.0018817818181818516,0.002819099999999965,0.0012801000000000134,0.827236,0.825114,-0.0021219999999999573,0.0003551636363636803,-0.001774400000000004,0.00022450000000005972
P51,0.632986,0.593818,-0.03916800000000009,-0.0016482606060605606,-0.007821399999999975,-0.0010659999999999786,0.79695,0.766517,-0.030433000000000043,-0.002284690909090886,-0.0061044999999999875,0.002250300000000079
P53,0.764087,0.777744,0.01365700000000003,0.0009544060606060981,0.002220800000000121,0.0024243000000000662,0.866253,0.862479,-0.003774000000000055,0.00033516969696972197,0.0011813999999999855,0.0009964999999999605
P56,0.72667,0.686399,-0.04027100000000006,-0.0012323090909090232,-0.0004779000000000371,-0.010059399999999944,0.852907,0.812177,-0.04072999999999993,-0.0030781818181817686,-0.006322700000000067,-0.0031157999999999173
P57,0.653304,0.658328,0.0050240000000000284,0.0003622484848485151,0.00038699999999997005,0.000781300000000012,0.798436,0.781736,-0.016700000000000048,-0.0017130242424241889,-0.0035168999999999895,0.00021720000000007987
P59,0.776583,0.746868,-0.029715000000000047,-0.003118048484848459,-0.0021444999999999602,-0.005233899999999941,0.971833,0.964811,-0.007021999999999973,-0.0025897030303029447,0.004628299999999998,-0.005834599999999877
P60,0.748558,0.746775,-0.001782999999999979,0.0014035393939394424,0.0009412000000000038,-0.0037109999999999665,0.85152,0.808598,-0.042922000000000016,-0.003289848484848487,-0.006972399999999936,-0.003136099999999944
P62,0.581348,0.581727,0.0003790000000000182,-0.0003209999999999563,0.0004622000000000502,-0.0011106999999999593,0.896393,0.87243,-0.023962999999999957,-0.0027850484848484674,-0.003712599999999972,-0.0024982999999999854
P63,0.491211,0.493127,0.0019159999999999733,0.001880000000000021,0.002841799999999984,-0.0026222999999999845,0.857732,0.840841,-0.0168910000000001,-0.0008944242424242117,-5.6400000000026436e-05,-0.004233100000000002
P66,0.560079,0.554602,-0.005476999999999954,-0.0006668787878787591,-0.001538199999999994,-0.0002897999999999966,0.901684,0.892306,-0.009377999999999997,-0.0006468545454545282,-0.0020776000000000353,0.0003413000000001105
P68,0.746818,0.769212,0.022394000000000025,0.0023174121212121515,0.00944510000000001,0.0009078000000000437,0.790791,0.791054,0.0002630000000000132,0.0010186181818182313,0.0027292999999999944,-0.004086199999999943
P69,0.689209,0.689396,0.00018700000000004824,-0.0006325999999999166,-0.0004691000000000015,0.0021889000000000617,0.87716,0.850093,-0.027067000000000063,-0.002878036363636322,-0.002366999999999999,-0.0015582999999999233
P70,0.689109,0.65191,-0.03719899999999998,-0.0050709575757575355,-0.0010420999999999991,-0.007092299999999952,0.901772,0.862561,-0.039210999999999996,-0.005105890909090816,-0.0028333999999999877,-0.0052101999999999695
P71,0.569521,0.560436,-0.00908500000000001,-0.0006619696969696664,-0.0010687999999999893,-7.699999999978017e-06,0.876909,0.871591,-0.005318000000000045,2.260606060610547e-05,-0.00046650000000000966,-0.00041999999999996375
P72,0.631361,0.625686,-0.005674999999999986,0.0005009515151515649,0.0011197999999999902,-0.0008212000000000025,0.863933,0.838353,-0.025579999999999936,-0.0014694969696969127,-0.0016019999999999867,-0.002007099999999955
P81,0.682835,0.663997,-0.01883800000000002,-0.0021957999999999726,-0.0027783999999999704,-0.0017691999999999606,0.875259,0.847908,-0.027351000000000014,-0.0027763636363636016,-0.0046139,-0.002100599999999929
